"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rbm3",1.72449194537509e-92,0.709174928795023,0.989,0.962,2.96440165409977e-88
"Tmcc1",1.90507628938937e-92,-2.2265873712411,0.142,0.506,3.27482614146033e-88
"Ctsb",2.54402730631964e-92,-0.588862262877778,0.987,1,4.37318293956346e-88
"Hint1",3.10102012776465e-92,-0.65409202980759,0.972,0.994,5.33065359962743e-88
"Ube2d3",1.80291138518973e-91,0.800204043758876,0.975,0.912,3.09920467114115e-87
"Clic1",8.04203769308259e-91,0.779006606345373,0.979,0.936,1.3824262794409e-86
"F10",9.30339071611718e-91,4.22540906705957,0.424,0.072,1.59925286410054e-86
"Spi1",1.53181539329542e-90,0.853429929362975,0.973,0.924,2.63319066107482e-86
"Irg1",2.42592660740749e-90,5.29316575698574,0.359,0.023,4.17016783813347e-86
"Man1a",6.14106206108914e-90,-2.4095231268222,0.114,0.458,1.05564856830122e-85
"Idh1",1.89405200858198e-89,-2.00961784824292,0.151,0.518,3.25587540275243e-85
"Cdc42",2.19981231459984e-89,0.667746893494597,0.987,0.961,3.78147736879712e-85
"Cfp",5.42265340005156e-89,-1.11023237746509,0.676,0.911,9.32154119468864e-85
"Sod2",5.44217967903248e-89,1.58436936158131,0.866,0.721,9.35510686825683e-85
"Lilr4b",6.81292486942654e-89,1.42395974417711,0.785,0.497,1.17114178505442e-84
"Rgs10",7.19499626002584e-89,-0.907030501019158,0.825,0.956,1.23681985709844e-84
"Psma2",1.04952089708583e-88,0.989023288307312,0.901,0.718,1.80412642209053e-84
"Nenf",2.74582170793299e-88,-1.35533835693016,0.419,0.765,4.72006751593681e-84
"Fam43a",3.25796729978564e-88,-3.46102942345773,0.034,0.321,5.60044578833152e-84
"Jun",3.41893963862936e-88,-1.26657790724501,0.707,0.895,5.87715723880387e-84
"Mif",6.87371390254902e-88,1.16204757707561,0.913,0.811,1.18159141984818e-83
"Cd209d",7.43421179396482e-88,-6.65584294063069,0.012,0.267,1.27794100738255e-83
"Scamp5",1.05848415687781e-87,-3.53904842588571,0.04,0.326,1.81953426567295e-83
"Man1c1",2.47327984391177e-87,-3.03245815371797,0.056,0.36,4.25156805168433e-83
"Agtrap",2.69507899445592e-87,-1.8954545371518,0.203,0.562,4.63284079146972e-83
"Pim1",1.99914395841191e-86,1.16304393340613,0.91,0.712,3.43652846451007e-82
"Samhd1",2.43614218222044e-86,1.24749726436426,0.9,0.736,4.18772841123693e-82
"Basp1",1.21214294620757e-85,2.28602872622823,0.547,0.184,2.08367372453081e-81
"Ahnak",1.62955966122344e-85,-1.13843243583784,0.555,0.866,2.8012130576431e-81
"Akr1b3",2.59049873608312e-85,-1.46336422728651,0.45,0.739,4.45306732732688e-81
"Ybx1",2.70030289674554e-85,0.620518571612995,0.997,0.979,4.64182067950558e-81
"Rpl18",2.97793189332483e-85,0.489684226547656,1,1,5.11906492462538e-81
"Prelid1",3.68863634913426e-85,0.825697909848152,0.96,0.884,6.34076588416179e-81
"Myo5a",5.13174575795338e-85,-1.89094103538504,0.201,0.559,8.82147095792187e-81
"Tsc22d3",5.28533398925843e-85,-1.60142481829603,0.284,0.655,9.08548912753524e-81
"Abracl",7.41426164199704e-85,0.933117844298047,0.93,0.807,1.27451157625929e-80
"Ier5",2.19959474058232e-84,1.17299301322376,0.874,0.673,3.78110335906101e-80
"Txnip",1.08056812998312e-83,-1.52922255369619,0.288,0.657,1.85749661544099e-79
"Hpgds",1.34052921541679e-83,-2.30784370554697,0.099,0.425,2.30436972130146e-79
"Mrpl52",7.58871362119103e-83,1.26926674404744,0.791,0.53,1.30449987148274e-78
"Selenbp1",1.54121957894552e-82,-2.65749592335444,0.06,0.357,2.64935645620735e-78
"Upp1",2.02958607823728e-82,5.84508837847646,0.325,0.016,3.48885846848988e-78
"Sgpp1",2.41385270390133e-82,-2.36656423030193,0.097,0.421,4.14941279800639e-78
"Kcnn4",3.11503800670036e-82,4.30066968306944,0.339,0.023,5.35475033351792e-78
"Fam26f",1.12992061729747e-81,2.27838815550056,0.598,0.26,1.94233354113435e-77
"Rnf150",2.078436177341e-81,-3.53880163619423,0.03,0.296,3.57283178884918e-77
"Dusp2",2.67923245153444e-81,3.15030991816255,0.399,0.063,4.6056005841877e-77
"Txn1",3.16459553122307e-81,0.783950907066524,0.994,0.964,5.43993971817246e-77
